Line	Abs Time(Sec)	Rel Time (Sec)	Status	Er	Tx	Description	Network	Node	ID	Cycle	Ch	B1-256	Dyn	Symbol Type	Strt-PPI-NULL-Sync-Res	H-CRC	CRC	Tframe	Tss Length	Value	Trigger	Signals
Line	Abs Time(Sec)	Rel Time (Sec)	Status	Er	Tx	Description	Network	Node	Arb ID	Remote	Xtd	B1	B2	B3	B4	B5	B6	B7	B8	Value	Trigger	Signals
Line	Abs Time(Sec)	Rel Time (Sec)	Status	Er	Tx	Description	Network	Node	PT	Trgt	Src	B1	B2	B3	B4	B5	B6	B7	B8	Value	Trigger	Signals
1	1326.701194	0	67371008	F	F	MS CAN $648	MS CAN		648	F	F	2	3E	1	0	0	0	0	0			
2	1326.705162	0.003967762	67371008	F	F	MS CAN $620	MS CAN		620	F	F	2	3E	1	0	0	0	0	0			
3	1326.710364	0.005201995	67371008	F	F	MS CAN $504	MS CAN		504	F	F	1	7E	3E	0	1C	80	80	36			
4	1326.710964	0.000600338	67371008	F	F	MS CAN $509	MS CAN		509	F	F	1	7E	0	0	0	0	0	0			
5	1326.817914	0.106950462	2.88072E+14	F	F	MS CAN $620	MS CAN		620	F	F	2	21	4A	0	0	0	0	0			
6	1326.822945	0.005030096	2.89172E+14	F	F	MS CAN $504	MS CAN		504	F	F	6	61	4A	0	1C	80	80	36			
7	1327.261456	0.438511193	67371008	F	F	MS CAN $600	MS CAN		600	F	F	2	3E	1	0	0	0	0	0			
8	1327.26442	0.002964199	67371008	F	F	MS CAN $500	MS CAN		500	F	F	1	7E	0	12	37	39	32	32			
9	1327.26546	0.001039922	67371008	F	F	MS CAN $658	MS CAN		658	F	F	2	3E	1	0	0	0	0	0			
10	1327.269444	0.003983796	67371008	F	F	MS CAN $688	MS CAN		688	F	F	3	22	F1	0	0	0	0	0			
11	1327.271712	0.002268076	67371008	F	F	MS CAN $50B	MS CAN		50B	F	F	1	7E	0	0	0	0	0	0			
12	1327.273436	0.001723886	67371008	F	F	MS CAN $698	MS CAN		698	F	F	3	22	F1	0	0	0	0	0			
13	1327.276638	0.00320214	67371008	F	F	MS CAN $513	MS CAN		513	F	F	7	62	F1	0	0	3	2	3			
14	1327.277434	0.00079608	67371008	F	F	MS CAN $7DA	MS CAN		7DA	F	F	3	22	F1	0	0	0	0	0			
15	1327.281467	0.004033685	67371008	F	F	MS CAN $6D8	MS CAN		6D8	F	F	3	22	F1	0	0	0	0	0			
16	1327.28402	0.002552092	67371008	F	F	MS CAN $7DB	MS CAN		7DB	F	F	7	62	F1	0	0	2	1	3			
17	1327.285456	0.001435995	67371008	F	F	MS CAN $628	MS CAN		628	F	F	3	22	F1	0	0	0	0	0			
18	1327.285694	0.000238121	67371008	F	F	MS CAN $51B	MS CAN		51B	F	F	7	62	F1	0	0	2	3	3			
19	1327.286562	0.000868201	67371008	F	F	MS CAN $511	MS CAN		511	F	F	7	62	F1	0	0	10	3	3			
20	1327.289468	0.002906024	67371008	F	F	MS CAN $784	MS CAN		784	F	F	3	22	F1	0	0	0	0	0			
21	1327.293048	0.003580034	67371008	F	F	MS CAN $505	MS CAN		505	F	F	7	62	F1	0	0	2	3	3			
22	1327.293544	0.000495911	67371008	F	F	MS CAN $7E0	MS CAN		7.00E+00	F	F	2	3E	1	0	0	0	0	0			
23	1327.29471	0.001166165	67371008	F	F	MS CAN $785	MS CAN		785	F	F	7	62	F1	0	0	10	1	1			
24	1327.295818	0.001108229	67371008	F	F	MS CAN $7E8	MS CAN		7.00E+08	F	F	1	7E	0	37	33	34	39	30			
25	1327.29747	0.001652062	67371008	F	F	MS CAN $622	MS CAN		622	F	F	2	3E	1	0	0	0	0	0			
26	1327.299368	0.00189805	67371008	F	F	MS CAN $484	MS CAN		484	F	F	1	7E	0	0	0	0	0	0			
27	1327.30148	0.002111912	67371008	F	F	MS CAN $640	MS CAN		640	F	F	2	3E	1	0	0	0	0	0			
28	1327.305468	0.003987789	67371008	F	F	MS CAN $650	MS CAN		650	F	F	2	3E	1	0	0	0	0	0			
29	1327.3095	0.004031897	67371008	F	F	MS CAN $728	MS CAN		728	F	F	2	3E	1	0	0	0	0	0			
30	1327.30975	0.000250101	67371008	F	F	MS CAN $50A	MS CAN		50A	F	F	1	7E	0	0	0	0	0	0			
31	1327.311832	0.002082229	67371008	F	F	MS CAN $508	MS CAN		508	F	F	1	7E	0	0	0	0	0	0			
32	1327.313494	0.001662016	67371008	F	F	MS CAN $7F8	MS CAN		7F8	F	F	2	3E	1	0	0	0	0	0			
33	1327.315816	0.002321959	67371008	F	F	MS CAN $525	MS CAN		525	F	F	1	7E	0	0	0	0	0	0			
34	1327.31749	0.001674056	67371008	F	F	MS CAN $678	MS CAN		678	F	F	2	3E	1	0	0	0	0	0			
35	1327.320613	0.003122211	67371008	F	F	MS CAN $50F	MS CAN		50F	F	F	1	7E	0	0	0	0	0	0			
36	1327.3215	0.00088793	67371008	F	F	MS CAN $680	MS CAN		680	F	F	2	3E	1	0	0	0	0	0			
